 will to register next: {'params': {'mgs': 21.622519048036146, 'mrc': 0.08088673708275396, 'pd': 0.9812172278580955, 'pr': 0.2200034246736794}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 64.41287254102508, 'mrc': 0.046986086503401414, 'pd': 0.9444320915544225, 'pr': 0.1306203331274442}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 3.3159476941507204, 'mrc': 0.01744945329283646, 'pd': 0.9099263426089481, 'pr': 0.23466537469550897}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 24.94659587466333, 'mrc': 0.054169464818242544, 'pd': 0.9698209077060771, 'pr': 0.155069846812329}, 'target': 34.54545454545455}.
 will to register next: {'params': {'mgs': 61.02730681703172, 'mrc': 0.0994244809128728, 'pd': 0.9392137665745359, 'pr': 0.25124558288675314}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 43.1183893015544, 'mrc': 0.027030042989111814, 'pd': 0.973563041931476, 'pr': 0.16089641767677026}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 70.74708634616692, 'mrc': 0.03339558810900728, 'pd': 0.9732892295845876, 'pr': 0.18980147054648733}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 65.60144918671047, 'mrc': 0.09673943029451548, 'pd': 0.9236461623827493, 'pr': 0.153282037892287}, 'target': 36.36363636363637}.
 will to register next: {'params': {'mgs': 40.20680452187224, 'mrc': 0.0384369234491765, 'pd': 0.9516972191894294, 'pr': 0.2428388651192948}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 24.075139296686075, 'mrc': 0.021765664211768024, 'pd': 0.955926066232911, 'pr': 0.13418196575593205}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 43.906364468917545, 'mrc': 0.06698492510324487, 'pd': 0.9217958004992999, 'pr': 0.09827606922531291}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 64.32160296029136, 'mrc': 0.06646488475836997, 'pd': 0.9689490079536016, 'pr': 0.1550467106115736}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 64.36423400975458, 'mrc': 0.03840329995423025, 'pd': 0.9182294845488773, 'pr': 0.14358078210076713}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 7.850939053665087, 'mrc': 0.006097770388872381, 'pd': 0.9920823566352723, 'pr': 0.2730477442592594}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 64.34744049492818, 'mrc': 0.0569949359604415, 'pd': 0.9559993231720133, 'pr': 0.17444286122063274}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 64.36695193877198, 'mrc': 0.06349723482887282, 'pd': 0.9852910235798613, 'pr': 0.14143964729639552}, 'target': 29.09090909090909}.
 will to register next: {'params': {'mgs': 1.4076763886898558, 'mrc': 0.08280215927781488, 'pd': 0.993331160241018, 'pr': 0.29920131294820373}, 'target': 14.545454545454545}.
 will to register next: {'params': {'mgs': 24.958413196976814, 'mrc': 0.06415332713318317, 'pd': 0.9533400981193493, 'pr': 0.14931619291893805}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 64.38855496754616, 'mrc': 0.03462571985965344, 'pd': 0.9687776661730518, 'pr': 0.15608914711262795}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 70.77748555329605, 'mrc': 0.053528019880445823, 'pd': 0.9956450725160898, 'pr': 0.20051314839388767}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 70.79197234448078, 'mrc': 0.05829129784345808, 'pd': 0.9900656132476685, 'pr': 0.19739214566547764}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 64.37468396247502, 'mrc': 0.05307030222342216, 'pd': 0.9539007377321765, 'pr': 0.1542644959631101}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 35.01434828579046, 'mrc': 0.04321834822525435, 'pd': 0.9777126540544538, 'pr': 0.11846329786801262}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 64.37624550731451, 'mrc': 0.05364065941648373, 'pd': 0.9556631018518204, 'pr': 0.14795691793391857}, 'target': 29.09090909090909}.
 will to register next: {'params': {'mgs': 40.02981579074789, 'mrc': 0.032447381125115006, 'pd': 0.9516768518249225, 'pr': 0.0668421741294729}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 65.58260435708065, 'mrc': 0.09531818696783664, 'pd': 0.9184528790066839, 'pr': 0.12128130358389504}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 19.221856355046036, 'mrc': 0.0, 'pd': 0.9, 'pr': 0.05}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 48.66507345714414, 'mrc': 0.05585062466151061, 'pd': 0.9143583753643103, 'pr': 0.14582611905944565}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 64.35533481687716, 'mrc': 0.05311522757135906, 'pd': 0.9616017567098193, 'pr': 0.17163475903571995}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 72.26982425143335, 'mrc': 0.02130810335189014, 'pd': 0.9663246854396852, 'pr': 0.15457413277037058}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 24.929312222180222, 'mrc': 0.07275028552355263, 'pd': 0.9857988868489322, 'pr': 0.1504068333626259}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 65.61587977235999, 'mrc': 0.07603329424998571, 'pd': 0.9304057947649095, 'pr': 0.15390369804627269}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 16.781846697478375, 'mrc': 0.00048085633798999883, 'pd': 0.982813872519986, 'pr': 0.1952530381899401}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 40.71989492955562, 'mrc': 0.09829649747608682, 'pd': 0.9590907108865548, 'pr': 0.09587805467040929}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 64.33112942873072, 'mrc': 0.03722155536184997, 'pd': 0.9495626830513212, 'pr': 0.1710303014666214}, 'target': 32.72727272727273}.
 will to register next: {'params': {'mgs': 3.521468876391909, 'mrc': 0.04992313407700138, 'pd': 0.9974891062820175, 'pr': 0.22604576262797205}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 24.38605490328974, 'mrc': 0.09721820358301035, 'pd': 0.9280101246732597, 'pr': 0.07676419353486065}, 'target': 20.0}.
