 will to register next: {'params': {'mgs': 59.61843808936776, 'mrc': 0.15007764408438895, 'pd': 0.9307196430284537, 'pr': 0.16596400881984497}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 66.41622071447438, 'mrc': 0.022037588537636335, 'pd': 0.6040283303449294, 'pr': 0.29343193873424184}, 'target': 1.8181818181818181}.
 will to register next: {'params': {'mgs': 35.17598958741083, 'mrc': 0.16132556944295962, 'pd': 0.9044336616476003, 'pr': 0.1626460521066781}, 'target': 10}.
 will to register next: {'params': {'mgs': 11.314577906775085, 'mrc': 0.09105744764859425, 'pd': 0.6685219891672467, 'pr': 0.16209126165250504}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 30.6348627505703, 'mrc': 0.13646521523487165, 'pd': 0.9167800252129532, 'pr': 0.25785369819009574}, 'target': 10}.
 will to register next: {'params': {'mgs': 25.484555800552382, 'mrc': 0.09827995421099166, 'pd': 0.5395705202286476, 'pr': 0.27315256250199477}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 59.60319864220723, 'mrc': 0.10149966681475486, 'pd': 0.9592447367422536, 'pr': 0.06112949370596478}, 'target': 10}.
 will to register next: {'params': {'mgs': 59.62747727209575, 'mrc': 0.06095356741645741, 'pd': 0.9181583577011075, 'pr': 0.09635767731980067}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 45.82564665162073, 'mrc': 0.10728698403501641, 'pd': 0.5759542347216456, 'pr': 0.26684860158554913}, 'target': 3.6363636363636362}.
 will to register next: {'params': {'mgs': 18.625365196504077, 'mrc': 0.1829902298000735, 'pd': 0.8836742975466976, 'pr': 0.07876977480830315}, 'target': 10}.
 will to register next: {'params': {'mgs': 2.2742602042734816, 'mrc': 0.012460633525049737, 'pd': 0.8449513519194742, 'pr': 0.23279707590041865}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 18.356134246142624, 'mrc': 0.15379412669953732, 'pd': 0.6515780324685773, 'pr': 0.1465092929763845}, 'target': 10}.
 will to register next: {'params': {'mgs': 5.429363502690681, 'mrc': 0.13530691032772807, 'pd': 0.7838054489689953, 'pr': 0.2035674076237407}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 10.25277549485307, 'mrc': 0.15778128159286703, 'pd': 0.5985841588159844, 'pr': 0.13012625721251342}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 51.467667426375854, 'mrc': 0.16690829473979532, 'pd': 0.6801256814045364, 'pr': 0.2593118883433285}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 3.838332150323698, 'mrc': 0.01685491276870572, 'pd': 0.6969101640444919, 'pr': 0.07697562231765957}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 75.34304000962592, 'mrc': 0.10795435232743773, 'pd': 0.5234695895418229, 'pr': 0.2351348598890456}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 4.3795523420492, 'mrc': 0.12872197087858359, 'pd': 0.925433406754557, 'pr': 0.15192878315700825}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 30.636355198731824, 'mrc': 0.09828732830186591, 'pd': 0.630521468618515, 'pr': 0.29422366812833206}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 76.10508974881571, 'mrc': 0.04368076744657406, 'pd': 0.8345228612024054, 'pr': 0.1178765548334929}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 67.47476443759842, 'mrc': 0.011970837676101255, 'pd': 0.9363621484597894, 'pr': 0.274550289320158}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 78.71665835341894, 'mrc': 0.14918517734333187, 'pd': 0.9958168527065843, 'pr': 0.26096540296584786}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 36.18971455176528, 'mrc': 0.1747466888064979, 'pd': 0.5258108952115196, 'pr': 0.24152778865699148}, 'target': 10}.
 will to register next: {'params': {'mgs': 20.90975705633162, 'mrc': 0.167414364927445, 'pd': 0.8613831077515461, 'pr': 0.27025778420794894}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 16.433000324023254, 'mrc': 0.11754448273358545, 'pd': 0.5658680302254937, 'pr': 0.1362899973896241}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 65.52951546859073, 'mrc': 0.1792546270096621, 'pd': 0.9849092457744835, 'pr': 0.13279243728398493}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 72.72107548047914, 'mrc': 0.14723209876301488, 'pd': 0.9423147966253851, 'pr': 0.1881348933725519}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 17.10972651159289, 'mrc': 0.05702088887035675, 'pd': 0.8887511507851538, 'pr': 0.10925208690050138}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 30.725613582396676, 'mrc': 0.11224358740946322, 'pd': 0.662801255501084, 'pr': 0.20816567543889025}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 42.058954850558415, 'mrc': 0.1425112413901389, 'pd': 0.7128801009417425, 'pr': 0.24221224945601172}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 69.72324649620562, 'mrc': 0.12257602217746788, 'pd': 0.5482498631711098, 'pr': 0.10169667914001908}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 2.903199617427674, 'mrc': 0.059613892208482636, 'pd': 0.5946168074155072, 'pr': 0.2813171088176105}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 71.56476541065123, 'mrc': 0.005743354830437153, 'pd': 0.8779422224045657, 'pr': 0.2986392752037568}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 47.4837829112921, 'mrc': 0.05931893400061199, 'pd': 0.8750605751398441, 'pr': 0.10097136561214119}, 'target': 1.8181818181818181}.
 will to register next: {'params': {'mgs': 76.68880872300072, 'mrc': 0.18259074968882988, 'pd': 0.9904367156044831, 'pr': 0.05720955096209003}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 76.2968499556291, 'mrc': 0.14454030634313877, 'pd': 0.901332909832173, 'pr': 0.2782837674005106}, 'target': 10}.
 will to register next: {'params': {'mgs': 71.51291546683628, 'mrc': 0.029304659251685107, 'pd': 0.7701323322281028, 'pr': 0.2819824404454473}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 13.162885203640817, 'mrc': 0.16385553970497913, 'pd': 0.6305981954699242, 'pr': 0.06056875225262036}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 39.76832144666346, 'mrc': 0.17735596373524815, 'pd': 0.7544852413287583, 'pr': 0.28242319919742664}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 15.206841782686586, 'mrc': 0.10455292014454123, 'pd': 0.8252567658366006, 'pr': 0.2914907809680244}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 22.911275684146368, 'mrc': 0.009233059036546254, 'pd': 0.9874693358217344, 'pr': 0.24266222800374193}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 14.712752674160567, 'mrc': 0.09118550064635807, 'pd': 0.7056114752286171, 'pr': 0.21667400037161888}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 74.65820098442231, 'mrc': 0.0150899912633244, 'pd': 0.6551461024679837, 'pr': 0.2696535285984828}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 42.446156060030646, 'mrc': 0.16639778788093448, 'pd': 0.5624454559056573, 'pr': 0.1528495308419796}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 68.4114575970074, 'mrc': 0.1915903888896775, 'pd': 0.8061376321155769, 'pr': 0.09942304731200939}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 55.12739586642038, 'mrc': 0.19876688832444978, 'pd': 0.9911982347147265, 'pr': 0.11249083395829436}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 59.508612764623535, 'mrc': 0.11699480455200105, 'pd': 0.9102513201114009, 'pr': 0.07727154210555419}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 34.77147914486967, 'mrc': 0.16050512395059988, 'pd': 0.5898177465356338, 'pr': 0.2883476171107205}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 18.47546944630066, 'mrc': 0.12082982079182399, 'pd': 0.5383963796402311, 'pr': 0.09256490002178992}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 22.55315823224546, 'mrc': 0.10556707673596573, 'pd': 0.9161315549175523, 'pr': 0.21734822463068731}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 53.66439659627471, 'mrc': 0.17412259763398139, 'pd': 0.7261255895129594, 'pr': 0.24951613495853675}, 'target': 1.8181818181818181}.
 will to register next: {'params': {'mgs': 63.062660258705165, 'mrc': 0.07518924590791053, 'pd': 0.866306752779477, 'pr': 0.16231638260632925}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 3.1615534118263344, 'mrc': 0.017897182724205464, 'pd': 0.8569170656707205, 'pr': 0.12956290954910382}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 10.688577527153207, 'mrc': 0.1913747799944492, 'pd': 0.9008885157355655, 'pr': 0.19816131505759033}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 26.23059374994945, 'mrc': 0.058797427565253746, 'pd': 0.9772665405534153, 'pr': 0.0851029317122081}, 'target': 10}.
 will to register next: {'params': {'mgs': 45.33483842525499, 'mrc': 0.1266177810160581, 'pd': 0.8584831132706676, 'pr': 0.290789347611743}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 15.2317855955737, 'mrc': 0.11068642479823768, 'pd': 0.6348678848573358, 'pr': 0.15117170405716596}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 59.71911079881128, 'mrc': 0.0355812229256929, 'pd': 0.5665151993552282, 'pr': 0.09556337352422288}, 'target': 3.6363636363636362}.
 will to register next: {'params': {'mgs': 62.815663294038266, 'mrc': 0.08090753553896535, 'pd': 0.5818833951172524, 'pr': 0.19858835101410738}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 49.64512485238604, 'mrc': 0.046474778320524185, 'pd': 0.8176106817880952, 'pr': 0.07113766795799335}, 'target': 10}.
 will to register next: {'params': {'mgs': 38.211928664863485, 'mrc': 0.12977417172702735, 'pd': 0.7003757477531364, 'pr': 0.2655935962047165}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 30.462827452172032, 'mrc': 0.009922664826564698, 'pd': 0.9306033656562754, 'pr': 0.22544210390343072}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 59.58677520611331, 'mrc': 0.06162502229699938, 'pd': 0.634144515004452, 'pr': 0.10686313297881066}, 'target': 9.090909090909092}.
